id,name,code,account_type,reconcile,tag_ids
l10n_py_coa.account_21205,Tarjeta Banco GNB a pagar,21205,liability_payable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21301,IPS a Pagar,21301,liability_payable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21302,Interes a Pagar IPS,21302,liability_payable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21303,IPS Cta. aporte,21303,liability_payable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21402,Impuesto a la Renta a pagar,21402,liability_current,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21403,IVA Débito Fiscal (5%),21403,liability_current,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21404,Retencion IVA a Pagar,21404,liability_current,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21405,Direcc.Gral.Grand.Contrib.,21405,liability_current,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21407,Retencion IDU a pagar,21407,liability_current,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21408,INR a pagar,21408,liability_current,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21409,Intereses de Fraccionamiento a pagar,21409,liability_current,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21502,Utilidades a pagar Socio 1,21502,liability_current,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21503,Utilidades a pagar Socio 2,21503,liability_current,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21701,Sueldos y Jornales a Pagar,21701,liability_payable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21702,Aguinaldos a Pagar,21702,liability_payable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21703,Honorarios Profes. a Pagar,21703,liability_payable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21704,RPS a pagar,21704,liability_payable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_21706,Comision Sev Publicos a Pagar,21706,liability_payable,True,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_22101,Documentos a Pagar,22101,liability_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_22102,Intereses a Devengar,22102,liability_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_22201,Previsiones p/ Indem. por Desp,22201,liability_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_22202,Otras Contingencias,22202,liability_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_317,Aumento de capital a protocolizar,317,liability_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_341,Reserva Legal,341,liability_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_342,Reserva de Revaluo,342,liability_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_343,Reserva Facultativa,343,liability_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_351,Ganancia y Perdida Ejerc.Ante,351,liability_non_current,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_352,Ganancia y Perdida del Ejerc.,352,equity_unaffected,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_415,Ventas Servicios,415,income,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_419,Descuentos Concedidos,419,expense,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_424,Intereses en cta. de ahorro,424,income_other,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_425,Recupero de Gastos,425,income_other,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_426,Ingresos por Descuentos,426,income_other,False,l10n_py_coa.account_tag_paraguay
cash_discount_gain,Descuento obtenido,430,income,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_431,Sobrante en caja,431,income_other,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_51106,Costo de venta servicios,51106,expense_direct_cost,False,l10n_py_coa.account_tag_paraguay
l10n_py_coa.account_51109,Costo internet,51109,expense_direct_cost,False,l10n_py_coa.account_tag_paraguay
